layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
23,model.layers.23.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.14945653080940247,0.15385913848876953
24,model.layers.24.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.043478261679410934,0.1500403881072998
24,model.layers.24.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.043478261679410934,0.14916348457336426
24,model.layers.24.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.05978260934352875,0.14648866653442383
24,model.layers.24.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.04891304299235344,0.1512737274169922
24,model.layers.24.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.125,0.14885663986206055
24,model.layers.24.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.10054347664117813,0.14542889595031738
24,model.layers.24.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.10869565606117249,0.1476142406463623
25,model.layers.25.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.03532608598470688,0.14487075805664062
25,model.layers.25.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.043478261679410934,0.14378619194030762
25,model.layers.25.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.02445652149617672,0.14293813705444336
25,model.layers.25.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.03804348036646843,0.1444087028503418
25,model.layers.25.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.09239130467176437,0.1462547779083252
25,model.layers.25.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.09239130467176437,0.1477816104888916
25,model.layers.25.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.12771739065647125,0.1499476432800293
26,model.layers.26.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.029891304671764374,0.14467263221740723
26,model.layers.26.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.04891304299235344,0.14576959609985352
26,model.layers.26.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.05163043737411499,0.14570975303649902
26,model.layers.26.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.04076087102293968,0.1447923183441162
26,model.layers.26.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.07880435138940811,0.14702749252319336
26,model.layers.26.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.07880435138940811,0.14879918098449707
26,model.layers.26.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.10054347664117813,0.14770102500915527
27,model.layers.27.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.02717391401529312,0.14615392684936523
27,model.layers.27.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.043478261679410934,0.14683222770690918
27,model.layers.27.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.04619565233588219,0.1668689250946045
27,model.layers.27.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.021739130839705467,0.148451566696167
27,model.layers.27.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.07880435138940811,0.15806102752685547
27,model.layers.27.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.0733695700764656,0.15146517753601074
27,model.layers.27.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.10869565606117249,0.1509873867034912
28,model.layers.28.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.05978260934352875,0.13991761207580566
