layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
7,model.layers.7.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0026652542874217033,0.010416666977107525,0.06951141357421875
7,model.layers.7.self_attn.o_proj,attn_out,3072,3072,9437184,0.010132923722267151,0.0260416679084301,0.07053160667419434
7,model.layers.7.mlp.gate_proj,mlp_up,8192,3072,25165824,0.016591591760516167,0.0078125,0.07181096076965332
7,model.layers.7.mlp.up_proj,mlp_up,8192,3072,25165824,0.009557819925248623,0.02083333395421505,0.07136917114257812
7,model.layers.7.mlp.down_proj,mlp_down,3072,8192,25165824,0.047918953001499176,0.015625,0.0708315372467041
8,model.layers.8.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0005013722693547606,0.0078125,0.07351016998291016
8,model.layers.8.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0020660944283008575,0.0026041667442768812,0.07099556922912598
8,model.layers.8.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0012534447014331818,0.010416666977107525,0.07023453712463379
8,model.layers.8.self_attn.o_proj,attn_out,3072,3072,9437184,0.005410853773355484,0.010416666977107525,0.07045173645019531
8,model.layers.8.mlp.gate_proj,mlp_up,8192,3072,25165824,0.005682501010596752,0.010416666977107525,0.07175254821777344
8,model.layers.8.mlp.up_proj,mlp_up,8192,3072,25165824,0.007171576842665672,0.0078125,0.07023286819458008
8,model.layers.8.mlp.down_proj,mlp_down,3072,8192,25165824,0.012794661335647106,0.01302083395421505,0.07297348976135254
9,model.layers.9.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0008771183784119785,0.0078125,0.07371401786804199
9,model.layers.9.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.000551010889466852,0.010416666977107525,0.06956124305725098
9,model.layers.9.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0033089814241975546,0.0078125,0.06952953338623047
9,model.layers.9.self_attn.o_proj,attn_out,3072,3072,9437184,0.0065996600314974785,0.0260416679084301,0.07072186470031738
9,model.layers.9.mlp.gate_proj,mlp_up,8192,3072,25165824,0.003761566011235118,0.015625,0.07102704048156738
9,model.layers.9.mlp.up_proj,mlp_up,8192,3072,25165824,0.006149902008473873,0.015625,0.07022452354431152
9,model.layers.9.mlp.down_proj,mlp_down,3072,8192,25165824,0.01145373098552227,0.015625,0.07181620597839355
10,model.layers.10.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0004866199451498687,0.0052083334885537624,0.07363414764404297
10,model.layers.10.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0005970427300781012,0.0078125,0.0698537826538086
10,model.layers.10.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0014228976797312498,0.0078125,0.07000732421875
10,model.layers.10.self_attn.o_proj,attn_out,3072,3072,9437184,0.007024981081485748,0.0234375,0.06943869590759277
10,model.layers.10.mlp.gate_proj,mlp_up,8192,3072,25165824,0.019076848402619362,0.015625,0.0709233283996582
10,model.layers.10.mlp.up_proj,mlp_up,8192,3072,25165824,0.01132587343454361,0.010416666977107525,0.07095837593078613
10,model.layers.10.mlp.down_proj,mlp_down,3072,8192,25165824,0.018820488825440407,0.0234375,0.07202887535095215
11,model.layers.11.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.000392249901778996,0.0026041667442768812,0.06950116157531738
11,model.layers.11.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.001462777960114181,0.0052083334885537624,0.06969404220581055
11,model.layers.11.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0031419831793755293,0.0052083334885537624,0.0683901309967041
11,model.layers.11.self_attn.o_proj,attn_out,3072,3072,9437184,0.00540203507989645,0.01302083395421505,0.06910395622253418
11,model.layers.11.mlp.gate_proj,mlp_up,8192,3072,25165824,0.008230171166360378,0.010416666977107525,0.07240533828735352
11,model.layers.11.mlp.up_proj,mlp_up,8192,3072,25165824,0.006212558131664991,0.01302083395421505,0.07052445411682129
11,model.layers.11.mlp.down_proj,mlp_down,3072,8192,25165824,0.012182874605059624,0.0260416679084301,0.07043910026550293
12,model.layers.12.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0003680507361423224,0.0078125,0.07316350936889648
12,model.layers.12.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0002806728007271886,0.0052083334885537624,0.06989693641662598
12,model.layers.12.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0011089826002717018,0.0052083334885537624,0.06802988052368164
12,model.layers.12.self_attn.o_proj,attn_out,3072,3072,9437184,0.01804775930941105,0.01302083395421505,0.06856513023376465
12,model.layers.12.mlp.gate_proj,mlp_up,8192,3072,25165824,0.024127468466758728,0.0052083334885537624,0.07153820991516113
12,model.layers.12.mlp.up_proj,mlp_up,8192,3072,25165824,0.011465480551123619,0.015625,0.07050156593322754
12,model.layers.12.mlp.down_proj,mlp_down,3072,8192,25165824,0.15037304162979126,0.02083333395421505,0.07198572158813477
13,model.layers.13.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0005624911282211542,0.0052083334885537624,0.07381343841552734
13,model.layers.13.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.00039733387529850006,0.0078125,0.06845784187316895
13,model.layers.13.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0012282393872737885,0.01302083395421505,0.06917309761047363
13,model.layers.13.self_attn.o_proj,attn_out,3072,3072,9437184,0.017598140984773636,0.01302083395421505,0.07138395309448242
13,model.layers.13.mlp.gate_proj,mlp_up,8192,3072,25165824,0.01532161608338356,0.02083333395421505,0.07021355628967285
13,model.layers.13.mlp.up_proj,mlp_up,8192,3072,25165824,0.01568589173257351,0.02083333395421505,0.07017302513122559
13,model.layers.13.mlp.down_proj,mlp_down,3072,8192,25165824,0.04791302606463432,0.015625,0.07282781600952148
14,model.layers.14.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00042839127127081156,0.010416666977107525,0.06950998306274414
14,model.layers.14.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.00035276514245197177,0.010416666977107525,0.0679013729095459
14,model.layers.14.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0022057369351387024,0.010416666977107525,0.07045364379882812
14,model.layers.14.self_attn.o_proj,attn_out,3072,3072,9437184,0.007351539563387632,0.01302083395421505,0.06992101669311523
14,model.layers.14.mlp.gate_proj,mlp_up,8192,3072,25165824,0.013402082026004791,0.02083333395421505,0.0708162784576416
14,model.layers.14.mlp.up_proj,mlp_up,8192,3072,25165824,0.018581215292215347,0.0182291679084301,0.07152915000915527
14,model.layers.14.mlp.down_proj,mlp_down,3072,8192,25165824,0.03685452416539192,0.03125,0.07093477249145508
15,model.layers.15.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0003070042876061052,0.0078125,0.06833744049072266
15,model.layers.15.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0002829596633091569,0.0026041667442768812,0.07159876823425293
15,model.layers.15.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0013347964268177748,0.0052083334885537624,0.0694737434387207
15,model.layers.15.self_attn.o_proj,attn_out,3072,3072,9437184,0.00391354551538825,0.0052083334885537624,0.07169365882873535
15,model.layers.15.mlp.gate_proj,mlp_up,8192,3072,25165824,0.04179412126541138,0.01302083395421505,0.0704035758972168
15,model.layers.15.mlp.up_proj,mlp_up,8192,3072,25165824,0.011982470750808716,0.0078125,0.0700523853302002
15,model.layers.15.mlp.down_proj,mlp_down,3072,8192,25165824,0.046049170196056366,0.0260416679084301,0.07182931900024414
16,model.layers.16.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00023788772523403168,0.010416666977107525,0.06830263137817383
16,model.layers.16.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.00044984949636273086,0.010416666977107525,0.07254838943481445
16,model.layers.16.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0011276090517640114,0.0026041667442768812,0.06920814514160156
16,model.layers.16.self_attn.o_proj,attn_out,3072,3072,9437184,0.0016887480160221457,0.0052083334885537624,0.0703129768371582
16,model.layers.16.mlp.gate_proj,mlp_up,8192,3072,25165824,0.010539602488279343,0.015625,0.07329440116882324
16,model.layers.16.mlp.up_proj,mlp_up,8192,3072,25165824,0.01140921376645565,0.0078125,0.07155704498291016
16,model.layers.16.mlp.down_proj,mlp_down,3072,8192,25165824,0.017322106286883354,0.01302083395421505,0.07203340530395508
17,model.layers.17.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0003201045619789511,0.0078125,0.07080984115600586
17,model.layers.17.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0004196849185973406,0.0078125,0.0690317153930664
17,model.layers.17.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0009070718660950661,0.0052083334885537624,0.06920099258422852
17,model.layers.17.self_attn.o_proj,attn_out,3072,3072,9437184,0.0014061597175896168,0.0026041667442768812,0.0697014331817627
17,model.layers.17.mlp.gate_proj,mlp_up,8192,3072,25165824,0.027867969125509262,0.0078125,0.07023954391479492
17,model.layers.17.mlp.up_proj,mlp_up,8192,3072,25165824,0.013135073706507683,0.01302083395421505,0.0705416202545166
17,model.layers.17.mlp.down_proj,mlp_down,3072,8192,25165824,0.011102056130766869,0.0182291679084301,0.07113885879516602
