layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,3072,3072,9437184,3.642990827560425,0.4895833432674408,0.11526918411254883
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.03694837540388107,0.0442708358168602,0.06914401054382324
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.29236528277397156,0.109375,0.06898355484008789
0,model.layers.0.self_attn.o_proj,attn_out,3072,3072,9437184,0.16404128074645996,0.0677083358168602,0.06975293159484863
0,model.layers.0.mlp.gate_proj,mlp_up,8192,3072,25165824,9.713003158569336,0.9947916865348816,0.0709843635559082
0,model.layers.0.mlp.up_proj,mlp_up,8192,3072,25165824,0.34622153639793396,0.0755208358168602,0.0706167221069336
0,model.layers.0.mlp.down_proj,mlp_down,3072,8192,25165824,5.951968193054199,0.5833333730697632,0.07184338569641113
1,model.layers.1.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.05239483341574669,0.0520833358168602,0.0682985782623291
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0770425796508789,0.046875,0.07024216651916504
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.015371309593319893,0.0390625,0.06946444511413574
1,model.layers.1.self_attn.o_proj,attn_out,3072,3072,9437184,0.02946377359330654,0.02864583395421505,0.07214760780334473
1,model.layers.1.mlp.gate_proj,mlp_up,8192,3072,25165824,0.41594618558883667,0.0807291716337204,0.0697782039642334
1,model.layers.1.mlp.up_proj,mlp_up,8192,3072,25165824,0.0827186107635498,0.0859375,0.07046723365783691
1,model.layers.1.mlp.down_proj,mlp_down,3072,8192,25165824,0.7645193338394165,0.1484375,0.07051634788513184
2,model.layers.2.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.5733829140663147,0.1901041716337204,0.0680856704711914
2,model.layers.2.self_attn.k_proj,attn_qkv,1024,3072,3145728,1.2673699855804443,0.2760416865348816,0.06780099868774414
2,model.layers.2.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.016424931585788727,0.0364583358168602,0.06819510459899902
2,model.layers.2.self_attn.o_proj,attn_out,3072,3072,9437184,0.03661911189556122,0.0338541679084301,0.06836915016174316
2,model.layers.2.mlp.gate_proj,mlp_up,8192,3072,25165824,0.23108097910881042,0.02864583395421505,0.07071089744567871
2,model.layers.2.mlp.up_proj,mlp_up,8192,3072,25165824,0.3881791830062866,0.0833333358168602,0.07100033760070801
2,model.layers.2.mlp.down_proj,mlp_down,3072,8192,25165824,0.4826996326446533,0.0755208358168602,0.07433462142944336
3,model.layers.3.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0733654648065567,0.0546875,0.06929492950439453
3,model.layers.3.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.15634547173976898,0.0729166716337204,0.0695641040802002
3,model.layers.3.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.02474285662174225,0.02864583395421505,0.06812429428100586
