layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
,model.vision_tower.patch_embedder.input_proj,other,768,768,589824,0.0,0.0,0.17268705368041992
0,model.vision_tower.encoder.layers.0.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13768410682678223
0,model.vision_tower.encoder.layers.0.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13608169555664062
0,model.vision_tower.encoder.layers.0.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14154887199401855
0,model.vision_tower.encoder.layers.0.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14318299293518066
0,model.vision_tower.encoder.layers.0.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.1436305046081543
0,model.vision_tower.encoder.layers.0.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.1412184238433838
0,model.vision_tower.encoder.layers.0.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14342427253723145
1,model.vision_tower.encoder.layers.1.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13936066627502441
1,model.vision_tower.encoder.layers.1.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13501644134521484
1,model.vision_tower.encoder.layers.1.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1437671184539795
1,model.vision_tower.encoder.layers.1.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14476752281188965
1,model.vision_tower.encoder.layers.1.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.13952279090881348
1,model.vision_tower.encoder.layers.1.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14450812339782715
1,model.vision_tower.encoder.layers.1.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14143633842468262
2,model.vision_tower.encoder.layers.2.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13601136207580566
2,model.vision_tower.encoder.layers.2.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13622379302978516
2,model.vision_tower.encoder.layers.2.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14243412017822266
2,model.vision_tower.encoder.layers.2.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14363861083984375
2,model.vision_tower.encoder.layers.2.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14144182205200195
2,model.vision_tower.encoder.layers.2.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14232635498046875
2,model.vision_tower.encoder.layers.2.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14462733268737793
3,model.vision_tower.encoder.layers.3.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14414525032043457
3,model.vision_tower.encoder.layers.3.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13880228996276855
3,model.vision_tower.encoder.layers.3.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14198684692382812
3,model.vision_tower.encoder.layers.3.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14322471618652344
3,model.vision_tower.encoder.layers.3.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.1448216438293457
3,model.vision_tower.encoder.layers.3.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14313101768493652
3,model.vision_tower.encoder.layers.3.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.1401979923248291
4,model.vision_tower.encoder.layers.4.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14035916328430176
4,model.vision_tower.encoder.layers.4.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13771557807922363
4,model.vision_tower.encoder.layers.4.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14469170570373535
4,model.vision_tower.encoder.layers.4.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14549756050109863
4,model.vision_tower.encoder.layers.4.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.142228364944458
4,model.vision_tower.encoder.layers.4.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14618945121765137
4,model.vision_tower.encoder.layers.4.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14120221138000488
5,model.vision_tower.encoder.layers.5.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14340949058532715
5,model.vision_tower.encoder.layers.5.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13788294792175293
5,model.vision_tower.encoder.layers.5.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14626193046569824
5,model.vision_tower.encoder.layers.5.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14243745803833008
5,model.vision_tower.encoder.layers.5.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.142256498336792
5,model.vision_tower.encoder.layers.5.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14284086227416992
5,model.vision_tower.encoder.layers.5.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14658308029174805
6,model.vision_tower.encoder.layers.6.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1474618911743164
6,model.vision_tower.encoder.layers.6.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13852620124816895
6,model.vision_tower.encoder.layers.6.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14395546913146973
6,model.vision_tower.encoder.layers.6.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14562249183654785
6,model.vision_tower.encoder.layers.6.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14402508735656738
6,model.vision_tower.encoder.layers.6.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.144866943359375
6,model.vision_tower.encoder.layers.6.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14371442794799805
7,model.vision_tower.encoder.layers.7.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1426692008972168
7,model.vision_tower.encoder.layers.7.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13984918594360352
7,model.vision_tower.encoder.layers.7.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1434938907623291
7,model.vision_tower.encoder.layers.7.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14455676078796387
7,model.vision_tower.encoder.layers.7.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14508056640625
7,model.vision_tower.encoder.layers.7.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14339613914489746
7,model.vision_tower.encoder.layers.7.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.1434929370880127
8,model.vision_tower.encoder.layers.8.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13868403434753418
8,model.vision_tower.encoder.layers.8.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1415553092956543
8,model.vision_tower.encoder.layers.8.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14519357681274414
8,model.vision_tower.encoder.layers.8.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14552664756774902
8,model.vision_tower.encoder.layers.8.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14644742012023926
8,model.vision_tower.encoder.layers.8.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14409947395324707
8,model.vision_tower.encoder.layers.8.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14553046226501465
9,model.vision_tower.encoder.layers.9.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14779901504516602
9,model.vision_tower.encoder.layers.9.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13608288764953613
9,model.vision_tower.encoder.layers.9.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1445300579071045
9,model.vision_tower.encoder.layers.9.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.1488654613494873
9,model.vision_tower.encoder.layers.9.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14849162101745605
9,model.vision_tower.encoder.layers.9.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.1460721492767334
9,model.vision_tower.encoder.layers.9.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14257144927978516
10,model.vision_tower.encoder.layers.10.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1491260528564453
10,model.vision_tower.encoder.layers.10.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1471712589263916
10,model.vision_tower.encoder.layers.10.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14671587944030762
10,model.vision_tower.encoder.layers.10.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14241838455200195
10,model.vision_tower.encoder.layers.10.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.1449568271636963
10,model.vision_tower.encoder.layers.10.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14818954467773438
10,model.vision_tower.encoder.layers.10.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14566850662231445
11,model.vision_tower.encoder.layers.11.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13675332069396973
11,model.vision_tower.encoder.layers.11.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13997530937194824
11,model.vision_tower.encoder.layers.11.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14776253700256348
11,model.vision_tower.encoder.layers.11.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14732646942138672
11,model.vision_tower.encoder.layers.11.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.1459944248199463
11,model.vision_tower.encoder.layers.11.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14583635330200195
11,model.vision_tower.encoder.layers.11.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.1439683437347412
12,model.vision_tower.encoder.layers.12.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13615894317626953
12,model.vision_tower.encoder.layers.12.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14421534538269043
12,model.vision_tower.encoder.layers.12.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14638662338256836
12,model.vision_tower.encoder.layers.12.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14397883415222168
12,model.vision_tower.encoder.layers.12.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14552092552185059
12,model.vision_tower.encoder.layers.12.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14499354362487793
12,model.vision_tower.encoder.layers.12.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.15065670013427734
13,model.vision_tower.encoder.layers.13.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1428987979888916
13,model.vision_tower.encoder.layers.13.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14399027824401855
13,model.vision_tower.encoder.layers.13.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1461954116821289
13,model.vision_tower.encoder.layers.13.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.1448812484741211
13,model.vision_tower.encoder.layers.13.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14577460289001465
13,model.vision_tower.encoder.layers.13.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14783406257629395
13,model.vision_tower.encoder.layers.13.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14756464958190918
14,model.vision_tower.encoder.layers.14.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.143402099609375
