layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.0001636028609937057,0.0052083334885537624,0.17507553100585938
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.000293563527520746,0.0,0.13205909729003906
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.17634782195091248,0.0182291679084301,0.1461033821105957
0,model.layers.0.self_attn.o_proj,attn_out,4096,4096,16777216,0.010345404036343098,0.015625,0.13591504096984863
0,model.layers.0.mlp.gate_proj,mlp_up,14336,4096,58720256,0.008362100459635258,0.01302083395421505,0.13262438774108887
0,model.layers.0.mlp.up_proj,mlp_up,14336,4096,58720256,0.006956060882657766,0.0182291679084301,0.1356983184814453
0,model.layers.0.mlp.down_proj,mlp_down,4096,14336,58720256,0.019545791670680046,0.02083333395421505,0.1345043182373047
1,model.layers.1.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00020775797020178288,0.0026041667442768812,0.13119220733642578
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.00012694952602032572,0.0026041667442768812,0.12790250778198242
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.002124832710251212,0.010416666977107525,0.12641525268554688
1,model.layers.1.self_attn.o_proj,attn_out,4096,4096,16777216,0.0009092431282624602,0.010416666977107525,0.13060927391052246
1,model.layers.1.mlp.gate_proj,mlp_up,14336,4096,58720256,0.0014850966399535537,0.0078125,0.13161969184875488
1,model.layers.1.mlp.up_proj,mlp_up,14336,4096,58720256,0.0014142830623313785,0.01302083395421505,0.13682246208190918
1,model.layers.1.mlp.down_proj,mlp_down,4096,14336,58720256,0.15787649154663086,0.046875,0.13160920143127441
2,model.layers.2.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.0002295591839356348,0.0052083334885537624,0.12944269180297852
2,model.layers.2.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.0003197142214048654,0.0078125,0.12962889671325684
2,model.layers.2.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.0012230521533638239,0.010416666977107525,0.1272897720336914
2,model.layers.2.self_attn.o_proj,attn_out,4096,4096,16777216,0.0005287483800202608,0.0078125,0.12841200828552246
2,model.layers.2.mlp.gate_proj,mlp_up,14336,4096,58720256,0.0026469880249351263,0.0078125,0.1320643424987793
2,model.layers.2.mlp.up_proj,mlp_up,14336,4096,58720256,0.003241897327825427,0.010416666977107525,0.1338810920715332
2,model.layers.2.mlp.down_proj,mlp_down,4096,14336,58720256,0.009240929037332535,0.02083333395421505,0.13648581504821777
3,model.layers.3.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00034578642225824296,0.010416666977107525,0.12829995155334473
3,model.layers.3.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.00018187373643741012,0.0026041667442768812,0.12762737274169922
3,model.layers.3.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.0010453511495143175,0.010416666977107525,0.12714600563049316
3,model.layers.3.self_attn.o_proj,attn_out,4096,4096,16777216,0.0006945021450519562,0.0052083334885537624,0.13132262229919434
3,model.layers.3.mlp.gate_proj,mlp_up,14336,4096,58720256,0.020127281546592712,0.0182291679084301,0.13534116744995117
3,model.layers.3.mlp.up_proj,mlp_up,14336,4096,58720256,0.0024288019631057978,0.015625,0.13319849967956543
3,model.layers.3.mlp.down_proj,mlp_down,4096,14336,58720256,0.008540485985577106,0.01302083395421505,0.13345003128051758
4,model.layers.4.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00047873504809103906,0.0052083334885537624,0.13033747673034668
4,model.layers.4.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.0002465073484927416,0.0052083334885537624,0.12888026237487793
4,model.layers.4.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.0008713722927495837,0.0052083334885537624,0.12688350677490234
4,model.layers.4.self_attn.o_proj,attn_out,4096,4096,16777216,0.0012630411656573415,0.010416666977107525,0.13187265396118164
4,model.layers.4.mlp.gate_proj,mlp_up,14336,4096,58720256,0.005197582766413689,0.0182291679084301,0.1326749324798584
4,model.layers.4.mlp.up_proj,mlp_up,14336,4096,58720256,0.017582904547452927,0.02083333395421505,0.1310746669769287
4,model.layers.4.mlp.down_proj,mlp_down,4096,14336,58720256,0.031227167695760727,0.02864583395421505,0.13280463218688965
5,model.layers.5.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00028096683672629297,0.0052083334885537624,0.12991118431091309
5,model.layers.5.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.00010110643779626116,0.0,0.12418031692504883
5,model.layers.5.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.0009270911104977131,0.0078125,0.12801599502563477
5,model.layers.5.self_attn.o_proj,attn_out,4096,4096,16777216,0.000954910647124052,0.01302083395421505,0.1282801628112793
5,model.layers.5.mlp.gate_proj,mlp_up,14336,4096,58720256,0.00335601600818336,0.01302083395421505,0.13328337669372559
5,model.layers.5.mlp.up_proj,mlp_up,14336,4096,58720256,0.0039580827578902245,0.015625,0.13332605361938477
5,model.layers.5.mlp.down_proj,mlp_down,4096,14336,58720256,0.004027997143566608,0.010416666977107525,0.13261008262634277
6,model.layers.6.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00016724911984056234,0.0026041667442768812,0.12834858894348145
6,model.layers.6.self_attn.k_proj,attn_qkv,1024,4096,4194304,6.712539470754564e-05,0.0026041667442768812,0.13063478469848633
6,model.layers.6.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.0006262612296268344,0.0078125,0.12859606742858887
6,model.layers.6.self_attn.o_proj,attn_out,4096,4096,16777216,0.0005616384441964328,0.0026041667442768812,0.12511038780212402
6,model.layers.6.mlp.gate_proj,mlp_up,14336,4096,58720256,0.0009442609152756631,0.0182291679084301,0.1315147876739502
6,model.layers.6.mlp.up_proj,mlp_up,14336,4096,58720256,0.00266462005674839,0.0052083334885537624,0.13312506675720215
6,model.layers.6.mlp.down_proj,mlp_down,4096,14336,58720256,0.002610260620713234,0.0078125,0.13043594360351562
7,model.layers.7.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00010928702249657363,0.0,0.131486177444458
7,model.layers.7.self_attn.k_proj,attn_qkv,1024,4096,4194304,8.700659236637875e-05,0.0026041667442768812,0.12928175926208496
7,model.layers.7.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.0005094443913549185,0.01302083395421505,0.1327195167541504
7,model.layers.7.self_attn.o_proj,attn_out,4096,4096,16777216,0.0010339734144508839,0.0026041667442768812,0.1301593780517578
7,model.layers.7.mlp.gate_proj,mlp_up,14336,4096,58720256,0.0018906777258962393,0.01302083395421505,0.13274669647216797
7,model.layers.7.mlp.up_proj,mlp_up,14336,4096,58720256,0.002743446733802557,0.02083333395421505,0.13476824760437012
7,model.layers.7.mlp.down_proj,mlp_down,4096,14336,58720256,0.005857488140463829,0.015625,0.13313579559326172
8,model.layers.8.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00012447974586393684,0.0026041667442768812,0.12947702407836914
8,model.layers.8.self_attn.k_proj,attn_qkv,1024,4096,4194304,6.497802678495646e-05,0.0026041667442768812,0.12810635566711426
8,model.layers.8.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.0003326721489429474,0.0078125,0.13029932975769043
8,model.layers.8.self_attn.o_proj,attn_out,4096,4096,16777216,0.0010911340359598398,0.0052083334885537624,0.12084078788757324
