layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00029109526076354086,0.0026041667442768812,0.10802245140075684
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0002791160950437188,0.0026041667442768812,0.06899905204772949
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.003592968685552478,0.015625,0.07049989700317383
0,model.layers.0.self_attn.o_proj,attn_out,3072,3072,9437184,0.005433858837932348,0.0052083334885537624,0.0699911117553711
0,model.layers.0.mlp.gate_proj,mlp_up,8192,3072,25165824,0.0009683078387752175,0.0,0.0710139274597168
0,model.layers.0.mlp.up_proj,mlp_up,8192,3072,25165824,0.0029336195439100266,0.0,0.07093000411987305
0,model.layers.0.mlp.down_proj,mlp_down,3072,8192,25165824,0.06185919791460037,0.0260416679084301,0.07523894309997559
1,model.layers.1.self_attn.q_proj,attn_qkv,3072,3072,9437184,7.158267544582486e-05,0.0,0.07013416290283203
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,3072,3145728,8.590883226133883e-05,0.0052083334885537624,0.06933856010437012
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.00148908537812531,0.0052083334885537624,0.07006669044494629
1,model.layers.1.self_attn.o_proj,attn_out,3072,3072,9437184,0.0032034525647759438,0.015625,0.0708768367767334
1,model.layers.1.mlp.gate_proj,mlp_up,8192,3072,25165824,0.003453656565397978,0.0078125,0.0708303451538086
1,model.layers.1.mlp.up_proj,mlp_up,8192,3072,25165824,0.0026664319448173046,0.010416666977107525,0.07129621505737305
1,model.layers.1.mlp.down_proj,mlp_down,3072,8192,25165824,0.4449232220649719,0.0416666679084301,0.07506561279296875
2,model.layers.2.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.000125484264572151,0.0026041667442768812,0.06931805610656738
2,model.layers.2.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0005561304278671741,0.0078125,0.07042288780212402
2,model.layers.2.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0017694344278424978,0.0026041667442768812,0.07017707824707031
2,model.layers.2.self_attn.o_proj,attn_out,3072,3072,9437184,0.0020166379399597645,0.0052083334885537624,0.07085204124450684
2,model.layers.2.mlp.gate_proj,mlp_up,8192,3072,25165824,0.006124430801719427,0.0052083334885537624,0.07011556625366211
2,model.layers.2.mlp.up_proj,mlp_up,8192,3072,25165824,0.008171937428414822,0.0052083334885537624,0.07055830955505371
2,model.layers.2.mlp.down_proj,mlp_down,3072,8192,25165824,0.004353555850684643,0.0078125,0.07486248016357422
3,model.layers.3.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00017772754654288292,0.0026041667442768812,0.06956291198730469
3,model.layers.3.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0001511847658548504,0.0052083334885537624,0.06906604766845703
