layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.27445653080940247,0.2208878993988037
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.2934782803058624,0.14147019386291504
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.47826087474823,0.14450526237487793
0,model.layers.0.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.6494565606117249,0.14359259605407715
0,model.layers.0.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.46739131212234497,0.14851927757263184
0,model.layers.0.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.4211956560611725,0.14646434783935547
0,model.layers.0.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.6521739363670349,0.1487867832183838
1,model.layers.1.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.16576087474822998,0.14379048347473145
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.18478260934352875,0.14422202110290527
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.28804346919059753,0.14284920692443848
1,model.layers.1.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.2853260934352875,0.14887690544128418
1,model.layers.1.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.904891312122345,0.14909648895263672
1,model.layers.1.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.3288043439388275,0.1486070156097412
1,model.layers.1.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.323369562625885,0.15482687950134277
2,model.layers.2.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.16576087474822998,0.14691495895385742
2,model.layers.2.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.17934782803058624,0.14234280586242676
2,model.layers.2.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.239130437374115,0.14654946327209473
2,model.layers.2.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.2663043439388275,0.14732909202575684
2,model.layers.2.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.9130434989929199,0.14736318588256836
2,model.layers.2.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.30434784293174744,0.14928817749023438
2,model.layers.2.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.3070652186870575,0.1539163589477539
3,model.layers.3.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.16576087474822998,0.14542484283447266
3,model.layers.3.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.16847826540470123,0.14546465873718262
3,model.layers.3.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.21195653080940247,0.14643526077270508
3,model.layers.3.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.21739131212234497,0.14494013786315918
3,model.layers.3.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.8396739363670349,0.14791202545166016
3,model.layers.3.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.32065218687057495,0.14639663696289062
3,model.layers.3.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.35326087474823,0.14615702629089355
4,model.layers.4.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.176630437374115,0.14746880531311035
4,model.layers.4.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.14945653080940247,0.1448681354522705
4,model.layers.4.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.16576087474822998,0.1499466896057129
4,model.layers.4.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.198369562625885,0.1451406478881836
