layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
,model.vision_tower.patch_embedder.input_proj,other,768,768,589824,0.0,0.0,0.16855597496032715
0,model.vision_tower.encoder.layers.0.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13584256172180176
0,model.vision_tower.encoder.layers.0.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13707733154296875
0,model.vision_tower.encoder.layers.0.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1422116756439209
0,model.vision_tower.encoder.layers.0.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.1431112289428711
0,model.vision_tower.encoder.layers.0.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14311814308166504
0,model.vision_tower.encoder.layers.0.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14058232307434082
0,model.vision_tower.encoder.layers.0.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14268827438354492
1,model.vision_tower.encoder.layers.1.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13758540153503418
1,model.vision_tower.encoder.layers.1.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13515257835388184
1,model.vision_tower.encoder.layers.1.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14747333526611328
1,model.vision_tower.encoder.layers.1.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.1428391933441162
1,model.vision_tower.encoder.layers.1.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.13869524002075195
1,model.vision_tower.encoder.layers.1.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14532995223999023
1,model.vision_tower.encoder.layers.1.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14048480987548828
2,model.vision_tower.encoder.layers.2.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13478517532348633
2,model.vision_tower.encoder.layers.2.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13478302955627441
2,model.vision_tower.encoder.layers.2.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14745450019836426
2,model.vision_tower.encoder.layers.2.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14074373245239258
2,model.vision_tower.encoder.layers.2.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.1392955780029297
2,model.vision_tower.encoder.layers.2.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.1459825038909912
2,model.vision_tower.encoder.layers.2.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14339303970336914
3,model.vision_tower.encoder.layers.3.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13880538940429688
3,model.vision_tower.encoder.layers.3.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1345362663269043
3,model.vision_tower.encoder.layers.3.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1409149169921875
3,model.vision_tower.encoder.layers.3.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14224672317504883
3,model.vision_tower.encoder.layers.3.mlp.gate_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14395904541015625
3,model.vision_tower.encoder.layers.3.mlp.up_proj.linear,mlp_up,3072,768,2359296,0.0,0.0,0.14129638671875
3,model.vision_tower.encoder.layers.3.mlp.down_proj.linear,mlp_down,768,3072,2359296,0.0,0.0,0.14192557334899902
4,model.vision_tower.encoder.layers.4.self_attn.q_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.1348114013671875
4,model.vision_tower.encoder.layers.4.self_attn.k_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.13987278938293457
4,model.vision_tower.encoder.layers.4.self_attn.v_proj.linear,attn_qkv,768,768,589824,0.0,0.0,0.14455485343933105
4,model.vision_tower.encoder.layers.4.self_attn.o_proj.linear,attn_out,768,768,589824,0.0,0.0,0.14184927940368652
