layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
0,model.language_model.layers.0.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.014034438878297806,0.020725388079881668,193,0.16149163246154785
0,model.language_model.layers.0.self_attn.k_proj,attn_qkv,512,2560,1310720,0.03911805525422096,0.041450776159763336,193,0.16162467002868652
0,model.language_model.layers.0.self_attn.v_proj,attn_qkv,512,2560,1310720,0.07205706834793091,0.07253886014223099,193,0.16570758819580078
0,model.language_model.layers.0.self_attn.o_proj,attn_out,2560,2048,5242880,0.07754185050725937,0.08290155231952667,193,0.16060829162597656
0,model.language_model.layers.0.mlp.gate_proj,mlp_up,10240,2560,26214400,0.06475980579853058,0.09326424449682236,193,0.16718101501464844
0,model.language_model.layers.0.mlp.up_proj,mlp_up,10240,2560,26214400,0.050433848053216934,0.041450776159763336,193,0.16910266876220703
0,model.language_model.layers.0.mlp.down_proj,mlp_down,2560,10240,26214400,0.1686953753232956,0.14507772028446198,193,0.17072558403015137
0,model.language_model.layers.0.per_layer_input_gate,other,256,2560,655360,0.13317550718784332,0.08808290213346481,193,0.15622162818908691
0,model.language_model.layers.0.per_layer_projection,other,2560,256,655360,0.08560129255056381,0.08290155231952667,193,0.16306662559509277
1,model.language_model.layers.1.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.018619995564222336,0.036269430071115494,193,0.16294431686401367
1,model.language_model.layers.1.self_attn.k_proj,attn_qkv,512,2560,1310720,0.012422649189829826,0.020725388079881668,193,0.16223740577697754
1,model.language_model.layers.1.self_attn.v_proj,attn_qkv,512,2560,1310720,0.42024388909339905,0.1709844470024109,193,0.16649675369262695
1,model.language_model.layers.1.self_attn.o_proj,attn_out,2560,2048,5242880,0.09550762176513672,0.10362693667411804,193,0.1618821620941162
1,model.language_model.layers.1.mlp.gate_proj,mlp_up,10240,2560,26214400,0.05955404415726662,0.04663212224841118,193,0.1629180908203125
1,model.language_model.layers.1.mlp.up_proj,mlp_up,10240,2560,26214400,0.06378419697284698,0.05699481815099716,193,0.17092370986938477
1,model.language_model.layers.1.mlp.down_proj,mlp_down,2560,10240,26214400,0.07925593107938766,0.05699481815099716,193,0.19829487800598145
1,model.language_model.layers.1.per_layer_input_gate,other,256,2560,655360,0.11230006068944931,0.07772020250558853,193,0.15588712692260742
1,model.language_model.layers.1.per_layer_projection,other,2560,256,655360,0.015606817789375782,0.020725388079881668,193,0.16483592987060547
2,model.language_model.layers.2.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.014664559625089169,0.015544041059911251,193,0.16145849227905273
2,model.language_model.layers.2.self_attn.k_proj,attn_qkv,512,2560,1310720,0.15099407732486725,0.05699481815099716,193,0.15118646621704102
2,model.language_model.layers.2.self_attn.v_proj,attn_qkv,512,2560,1310720,0.07342596352100372,0.05181346833705902,193,0.16209793090820312
2,model.language_model.layers.2.self_attn.o_proj,attn_out,2560,2048,5242880,0.06818836182355881,0.05181346833705902,193,0.1708965301513672
2,model.language_model.layers.2.mlp.gate_proj,mlp_up,10240,2560,26214400,0.3859478235244751,0.13989636301994324,193,0.1732473373413086
2,model.language_model.layers.2.mlp.up_proj,mlp_up,10240,2560,26214400,0.06165728718042374,0.04663212224841118,193,0.1745917797088623
2,model.language_model.layers.2.mlp.down_proj,mlp_down,2560,10240,26214400,0.14933659136295319,0.0984455943107605,193,0.16952848434448242
2,model.language_model.layers.2.per_layer_input_gate,other,256,2560,655360,0.024890750646591187,0.041450776159763336,193,0.1622602939605713
2,model.language_model.layers.2.per_layer_projection,other,2560,256,655360,0.00888704415410757,0.02590673416852951,193,0.16710424423217773
3,model.language_model.layers.3.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.012297232635319233,0.020725388079881668,193,0.16744422912597656
3,model.language_model.layers.3.self_attn.k_proj,attn_qkv,512,2560,1310720,0.007467734627425671,0.020725388079881668,193,0.1623854637145996
3,model.language_model.layers.3.self_attn.v_proj,attn_qkv,512,2560,1310720,0.112839475274086,0.09326424449682236,193,0.16325902938842773
3,model.language_model.layers.3.self_attn.o_proj,attn_out,2560,2048,5242880,0.0842522531747818,0.062176164239645004,193,0.15986180305480957
3,model.language_model.layers.3.mlp.gate_proj,mlp_up,10240,2560,26214400,0.15798410773277283,0.10880828648805618,193,0.16268658638000488
3,model.language_model.layers.3.mlp.up_proj,mlp_up,10240,2560,26214400,0.06910009682178497,0.062176164239645004,193,0.17655539512634277
3,model.language_model.layers.3.mlp.down_proj,mlp_down,2560,10240,26214400,0.2034008651971817,0.12953367829322815,193,0.16866612434387207
3,model.language_model.layers.3.per_layer_input_gate,other,256,2560,655360,0.04539688676595688,0.05181346833705902,193,0.16352510452270508
3,model.language_model.layers.3.per_layer_projection,other,2560,256,655360,0.004148354288190603,0.010362694039940834,193,0.1623094081878662
4,model.language_model.layers.4.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.023742374032735825,0.031088082119822502,193,0.15764093399047852
4,model.language_model.layers.4.self_attn.k_proj,attn_qkv,512,2560,1310720,0.014863643795251846,0.015544041059911251,193,0.15314102172851562
4,model.language_model.layers.4.self_attn.v_proj,attn_qkv,512,2560,1310720,0.09511733055114746,0.07253886014223099,193,0.16319799423217773
4,model.language_model.layers.4.self_attn.o_proj,attn_out,2560,2048,5242880,0.05079089105129242,0.05699481815099716,193,0.16446900367736816
4,model.language_model.layers.4.mlp.gate_proj,mlp_up,10240,2560,26214400,0.17420530319213867,0.08808290213346481,193,0.1708362102508545
4,model.language_model.layers.4.mlp.up_proj,mlp_up,10240,2560,26214400,0.08104372024536133,0.08290155231952667,193,0.1723945140838623
4,model.language_model.layers.4.mlp.down_proj,mlp_down,2560,10240,26214400,0.1430114209651947,0.09326424449682236,193,0.16777896881103516
4,model.language_model.layers.4.per_layer_input_gate,other,256,2560,655360,0.06983599811792374,0.09326424449682236,193,0.18031573295593262
4,model.language_model.layers.4.per_layer_projection,other,2560,256,655360,0.24260544776916504,0.12953367829322815,193,0.16206789016723633
5,model.language_model.layers.5.self_attn.q_proj,attn_qkv,4096,2560,10485760,0.061175595968961716,0.036269430071115494,193,0.16104555130004883
5,model.language_model.layers.5.self_attn.k_proj,attn_qkv,1024,2560,2621440,0.07217875123023987,0.05181346833705902,193,0.15654730796813965
5,model.language_model.layers.5.self_attn.v_proj,attn_qkv,1024,2560,2621440,0.11043550074100494,0.10880828648805618,193,0.15775060653686523
5,model.language_model.layers.5.self_attn.o_proj,attn_out,2560,4096,10485760,0.1038888692855835,0.08808290213346481,193,0.16718435287475586
5,model.language_model.layers.5.mlp.gate_proj,mlp_up,10240,2560,26214400,0.2613755464553833,0.12953367829322815,193,0.16685962677001953
5,model.language_model.layers.5.mlp.up_proj,mlp_up,10240,2560,26214400,0.21393939852714539,0.10362693667411804,193,0.17195773124694824
5,model.language_model.layers.5.mlp.down_proj,mlp_down,2560,10240,26214400,0.1637551486492157,0.0984455943107605,193,0.16830945014953613
5,model.language_model.layers.5.per_layer_input_gate,other,256,2560,655360,0.04051797837018967,0.031088082119822502,193,0.1565864086151123
5,model.language_model.layers.5.per_layer_projection,other,2560,256,655360,0.007403688505291939,0.031088082119822502,193,0.15910792350769043
6,model.language_model.layers.6.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.009167693555355072,0.020725388079881668,193,0.16624212265014648
6,model.language_model.layers.6.self_attn.k_proj,attn_qkv,512,2560,1310720,0.011854831129312515,0.020725388079881668,193,0.15963459014892578
6,model.language_model.layers.6.self_attn.v_proj,attn_qkv,512,2560,1310720,0.07622549682855606,0.07772020250558853,193,0.166917085647583
6,model.language_model.layers.6.self_attn.o_proj,attn_out,2560,2048,5242880,0.07242624461650848,0.05699481815099716,193,0.16675853729248047
6,model.language_model.layers.6.mlp.gate_proj,mlp_up,10240,2560,26214400,0.08438456058502197,0.062176164239645004,193,0.1724863052368164
6,model.language_model.layers.6.mlp.up_proj,mlp_up,10240,2560,26214400,0.03682827576994896,0.036269430071115494,193,0.1745588779449463
6,model.language_model.layers.6.mlp.down_proj,mlp_down,2560,10240,26214400,0.05619756877422333,0.031088082119822502,193,0.16538429260253906
6,model.language_model.layers.6.per_layer_input_gate,other,256,2560,655360,0.03250246122479439,0.02590673416852951,193,0.15318965911865234
6,model.language_model.layers.6.per_layer_projection,other,2560,256,655360,0.01532719749957323,0.036269430071115494,193,0.15994620323181152
7,model.language_model.layers.7.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0034457261208444834,0.005181347019970417,193,0.16288542747497559
7,model.language_model.layers.7.self_attn.k_proj,attn_qkv,512,2560,1310720,0.016761353239417076,0.02590673416852951,193,0.16746926307678223
7,model.language_model.layers.7.self_attn.v_proj,attn_qkv,512,2560,1310720,0.022795118391513824,0.031088082119822502,193,0.16219162940979004
7,model.language_model.layers.7.self_attn.o_proj,attn_out,2560,2048,5242880,0.04996996745467186,0.05699481815099716,193,0.1608107089996338
7,model.language_model.layers.7.mlp.gate_proj,mlp_up,10240,2560,26214400,0.10362810641527176,0.08808290213346481,193,0.16191959381103516
7,model.language_model.layers.7.mlp.up_proj,mlp_up,10240,2560,26214400,0.05394323915243149,0.041450776159763336,193,0.16869592666625977
7,model.language_model.layers.7.mlp.down_proj,mlp_down,2560,10240,26214400,0.10963346064090729,0.07253886014223099,193,0.17508339881896973
7,model.language_model.layers.7.per_layer_input_gate,other,256,2560,655360,0.010847087949514389,0.020725388079881668,193,0.15884637832641602
7,model.language_model.layers.7.per_layer_projection,other,2560,256,655360,0.014791255816817284,0.015544041059911251,193,0.16129136085510254
8,model.language_model.layers.8.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.002823880175128579,0.015544041059911251,193,0.16129016876220703
8,model.language_model.layers.8.self_attn.k_proj,attn_qkv,512,2560,1310720,0.003720772685483098,0.0,193,0.15324974060058594
8,model.language_model.layers.8.self_attn.v_proj,attn_qkv,512,2560,1310720,0.049820736050605774,0.036269430071115494,193,0.16792583465576172
8,model.language_model.layers.8.self_attn.o_proj,attn_out,2560,2048,5242880,0.0337803028523922,0.031088082119822502,193,0.16173100471496582
8,model.language_model.layers.8.mlp.gate_proj,mlp_up,10240,2560,26214400,0.16697707772254944,0.11917097866535187,193,0.17271161079406738
8,model.language_model.layers.8.mlp.up_proj,mlp_up,10240,2560,26214400,0.14425374567508698,0.10880828648805618,193,0.16478252410888672
8,model.language_model.layers.8.mlp.down_proj,mlp_down,2560,10240,26214400,0.07888823002576828,0.05181346833705902,193,0.1661670207977295
8,model.language_model.layers.8.per_layer_input_gate,other,256,2560,655360,0.015443033538758755,0.031088082119822502,193,0.15132570266723633
8,model.language_model.layers.8.per_layer_projection,other,2560,256,655360,0.011037793941795826,0.041450776159763336,193,0.1630852222442627
9,model.language_model.layers.9.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.01056151743978262,0.015544041059911251,193,0.16872024536132812
9,model.language_model.layers.9.self_attn.k_proj,attn_qkv,512,2560,1310720,0.013722808100283146,0.02590673416852951,193,0.1708362102508545
9,model.language_model.layers.9.self_attn.v_proj,attn_qkv,512,2560,1310720,0.07531575113534927,0.04663212224841118,193,0.16367816925048828
9,model.language_model.layers.9.self_attn.o_proj,attn_out,2560,2048,5242880,0.08971799910068512,0.06735751032829285,193,0.16334080696105957
9,model.language_model.layers.9.mlp.gate_proj,mlp_up,10240,2560,26214400,0.14813154935836792,0.0984455943107605,193,0.1612246036529541
9,model.language_model.layers.9.mlp.up_proj,mlp_up,10240,2560,26214400,0.11709459871053696,0.09326424449682236,193,0.17019104957580566
9,model.language_model.layers.9.mlp.down_proj,mlp_down,2560,10240,26214400,0.18355107307434082,0.11917097866535187,193,0.16902542114257812
9,model.language_model.layers.9.per_layer_input_gate,other,256,2560,655360,0.09309782087802887,0.05699481815099716,193,0.1603865623474121
9,model.language_model.layers.9.per_layer_projection,other,2560,256,655360,0.06650582700967789,0.036269430071115494,193,0.16248512268066406
10,model.language_model.layers.10.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0264887735247612,0.036269430071115494,193,0.16887331008911133
10,model.language_model.layers.10.self_attn.k_proj,attn_qkv,512,2560,1310720,0.012465160340070724,0.020725388079881668,193,0.15368318557739258
10,model.language_model.layers.10.self_attn.v_proj,attn_qkv,512,2560,1310720,0.19773298501968384,0.07253886014223099,193,0.1596851348876953
10,model.language_model.layers.10.self_attn.o_proj,attn_out,2560,2048,5242880,0.22873461246490479,0.1606217622756958,193,0.15872669219970703
10,model.language_model.layers.10.mlp.gate_proj,mlp_up,10240,2560,26214400,0.09790132939815521,0.08290155231952667,193,0.16921758651733398
10,model.language_model.layers.10.mlp.up_proj,mlp_up,10240,2560,26214400,0.152120441198349,0.08808290213346481,193,0.18477725982666016
10,model.language_model.layers.10.mlp.down_proj,mlp_down,2560,10240,26214400,0.25843560695648193,0.12953367829322815,193,0.17168974876403809
10,model.language_model.layers.10.per_layer_input_gate,other,256,2560,655360,0.020221365615725517,0.020725388079881668,193,0.15487122535705566
10,model.language_model.layers.10.per_layer_projection,other,2560,256,655360,0.00674190791323781,0.020725388079881668,193,0.15829229354858398
11,model.language_model.layers.11.self_attn.q_proj,attn_qkv,4096,2560,10485760,0.06309282034635544,0.05181346833705902,193,0.16390299797058105
