layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.language_model.layers.3.mlp.down_proj,mlp_down,3,0.07317073170731707,10240,2560,26214400,2.900303840637207,0.40625,0.015777587890625,25.748549323017407,2397.111083984375,6.146386616545066
model.language_model.layers.3.per_layer_input_gate,other,3,0.07317073170731707,2560,256,655360,1.887885570526123,0.15234375,0.0130157470703125,11.704572098475968,248.2559051513672,1.684743648181694
model.language_model.layers.3.per_layer_projection,other,3,0.07317073170731707,256,2560,655360,21.478811264038086,0.76171875,0.031219482421875,24.39882697947214,176.0294647216797,2.477578256070317
model.language_model.layers.4.self_attn.q_proj,attn_qkv,4,0.0975609756097561,2560,2048,5242880,0.9923064708709717,0.345703125,0.019989013671875,17.294656488549617,1604.002197265625,3.3689746398960483
model.language_model.layers.4.self_attn.k_proj,attn_qkv,4,0.0975609756097561,2560,512,1310720,2.042003631591797,0.287109375,0.01983642578125,14.473846153846154,466.22955322265625,2.6609683080554554
model.language_model.layers.4.self_attn.v_proj,attn_qkv,4,0.0975609756097561,2560,512,1310720,0.3465287685394287,0.181640625,0.0208892822265625,8.695398100803507,490.76470947265625,1.4404587665489743
model.language_model.layers.4.self_attn.o_proj,attn_out,4,0.0975609756097561,2048,2560,5242880,1.8222846984863281,0.4453125,0.0206756591796875,21.5380073800738,1621.7655029296875,3.9252406094721155
model.language_model.layers.4.mlp.gate_proj,mlp_up,4,0.0975609756097561,2560,10240,26214400,0.8762087821960449,0.341796875,0.0212860107421875,16.057347670250895,2402.324462890625,4.898136900586962
model.language_model.layers.4.mlp.up_proj,mlp_up,4,0.0975609756097561,2560,10240,26214400,0.7258985042572021,0.328125,0.021392822265625,15.338088445078458,2430.95654296875,2.2599337663385772
model.language_model.layers.4.mlp.down_proj,mlp_down,4,0.0975609756097561,10240,2560,26214400,2.1775407791137695,0.5390625,0.01555633544921875,34.65228052967141,2402.132080078125,6.138170811453639
model.language_model.layers.4.per_layer_input_gate,other,4,0.0975609756097561,2560,256,655360,4.527191638946533,0.177734375,0.012054443359375,14.744303797468355,243.25914001464844,1.8782259887667
model.language_model.layers.4.per_layer_projection,other,4,0.0975609756097561,256,2560,655360,12.148889541625977,0.77734375,0.042633056640625,18.233357193987114,175.03712463378906,3.959674271958677
model.language_model.layers.5.self_attn.q_proj,attn_qkv,5,0.12195121951219512,2560,4096,10485760,0.8431344032287598,0.2734375,0.02044677734375,13.373134328358208,2106.59716796875,2.7262599862969537
model.language_model.layers.5.self_attn.k_proj,attn_qkv,5,0.12195121951219512,2560,1024,2621440,3.8573856353759766,0.279296875,0.0191497802734375,14.584860557768923,893.1350708007812,2.015373891233587
model.language_model.layers.5.self_attn.v_proj,attn_qkv,5,0.12195121951219512,2560,1024,2621440,0.2658541202545166,0.166015625,0.021270751953125,7.804878048780488,926.545654296875,1.6294299061601611
model.language_model.layers.5.self_attn.o_proj,attn_out,5,0.12195121951219512,4096,2560,10485760,3.189450263977051,0.578125,0.0185546875,31.157894736842106,2062.08740234375,4.670576930478485
model.language_model.layers.5.mlp.gate_proj,mlp_up,5,0.12195121951219512,2560,10240,26214400,1.127237319946289,0.357421875,0.0207977294921875,17.18561995597946,2374.34912109375,4.283616345629742
model.language_model.layers.5.mlp.up_proj,mlp_up,5,0.12195121951219512,2560,10240,26214400,0.8014214038848877,0.3515625,0.021575927734375,16.294200848656295,2400.130615234375,2.3270588419635683
model.language_model.layers.5.mlp.down_proj,mlp_down,5,0.12195121951219512,10240,2560,26214400,4.488720417022705,0.5390625,0.0160064697265625,33.67778836987607,2417.409912109375,5.370544219391861
model.language_model.layers.5.per_layer_input_gate,other,5,0.12195121951219512,2560,256,655360,3.4938201904296875,0.1572265625,0.01141357421875,13.775401069518717,239.7720489501953,2.269171656148643
model.language_model.layers.5.per_layer_projection,other,5,0.12195121951219512,256,2560,655360,32.920257568359375,0.7421875,0.023468017578125,31.625487646293887,200.7513885498047,1.329879930725827
model.language_model.layers.6.self_attn.q_proj,attn_qkv,6,0.14634146341463414,2560,2048,5242880,0.8696284294128418,0.283203125,0.0204315185546875,13.861090365944735,1608.307861328125,3.138541024536094
model.language_model.layers.6.self_attn.k_proj,attn_qkv,6,0.14634146341463414,2560,512,1310720,1.7102723121643066,0.283203125,0.0201873779296875,14.028722600151172,463.9794006347656,2.520009513624854
model.language_model.layers.6.self_attn.v_proj,attn_qkv,6,0.14634146341463414,2560,512,1310720,0.948204517364502,0.25,0.021087646484375,11.855282199710564,497.8550720214844,1.6763033942061323
model.language_model.layers.6.self_attn.o_proj,attn_out,6,0.14634146341463414,2048,2560,5242880,9.580296516418457,0.7578125,0.021636962890625,35.023977433004234,1597.9490966796875,6.432290400982614
model.language_model.layers.6.mlp.gate_proj,mlp_up,6,0.14634146341463414,2560,10240,26214400,1.301464557647705,0.32421875,0.021392822265625,15.155492154065621,2355.74365234375,5.244333303720824
model.language_model.layers.6.mlp.up_proj,mlp_up,6,0.14634146341463414,2560,10240,26214400,0.8473150730133057,0.37109375,0.0219268798828125,16.924147529575503,2420.9873046875,2.3949594610423053
model.language_model.layers.6.mlp.down_proj,mlp_down,6,0.14634146341463414,10240,2560,26214400,2.642155647277832,0.4296875,0.016082763671875,26.717267552182165,2405.857666015625,5.367562189176786
model.language_model.layers.6.per_layer_input_gate,other,6,0.14634146341463414,2560,256,655360,3.286339282989502,0.1396484375,0.01047515869140625,13.331391114348143,243.5713653564453,1.9027547596761516
model.language_model.layers.6.per_layer_projection,other,6,0.14634146341463414,256,2560,655360,23.158987045288086,0.7265625,0.033050537109375,21.98337950138504,194.9488067626953,1.6923540539101585
model.language_model.layers.7.self_attn.q_proj,attn_qkv,7,0.17073170731707318,2560,2048,5242880,0.8997929096221924,0.375,0.0212249755859375,17.667864845434938,1624.7012939453125,3.372230536602094
model.language_model.layers.7.self_attn.k_proj,attn_qkv,7,0.17073170731707318,2560,512,1310720,1.134605884552002,0.228515625,0.0211181640625,10.820809248554914,467.4391784667969,2.9128067037714764
model.language_model.layers.7.self_attn.v_proj,attn_qkv,7,0.17073170731707318,2560,512,1310720,0.40836548805236816,0.19140625,0.0218658447265625,8.753663642707606,491.46258544921875,1.6307840761556727
model.language_model.layers.7.self_attn.o_proj,attn_out,7,0.17073170731707318,2048,2560,5242880,2.765303611755371,0.404296875,0.0227813720703125,17.746818486269255,1618.97314453125,3.7482806210848825
model.language_model.layers.7.mlp.gate_proj,mlp_up,7,0.17073170731707318,2560,10240,26214400,0.8050937652587891,0.373046875,0.0216522216796875,17.229034531360114,2400.49462890625,5.104240300946908
model.language_model.layers.7.mlp.up_proj,mlp_up,7,0.17073170731707318,2560,10240,26214400,0.6359338760375977,0.36328125,0.0217742919921875,16.68395234758234,2438.76904296875,2.318954554786973
model.language_model.layers.7.mlp.down_proj,mlp_down,7,0.17073170731707318,10240,2560,26214400,2.6572837829589844,0.53515625,0.01593017578125,33.593869731800766,2382.33056640625,4.634974034074448
model.language_model.layers.7.per_layer_input_gate,other,7,0.17073170731707318,2560,256,655360,2.5330944061279297,0.142578125,0.012542724609375,11.367396593673966,244.81015014648438,1.6134578094807734
model.language_model.layers.7.per_layer_projection,other,7,0.17073170731707318,256,2560,655360,24.888446807861328,0.8046875,0.0311431884765625,25.83831455169035,187.38525390625,1.8303505419895463
