layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
5,model.language_model.layers.5.self_attn.v_proj,attn_qkv,1024,2560,2621440,0.01016374584287405,0.015544041059911251,193,0.15532422065734863
5,model.language_model.layers.5.self_attn.o_proj,attn_out,2560,4096,10485760,0.033581867814064026,0.036269430071115494,193,0.15566182136535645
5,model.language_model.layers.5.mlp.gate_proj,mlp_up,10240,2560,26214400,0.02956114523112774,0.05181346833705902,193,0.15880155563354492
5,model.language_model.layers.5.mlp.up_proj,mlp_up,10240,2560,26214400,0.037238556891679764,0.04663212224841118,193,0.16162443161010742
5,model.language_model.layers.5.mlp.down_proj,mlp_down,2560,10240,26214400,0.026561301201581955,0.036269430071115494,193,0.1630244255065918
5,model.language_model.layers.5.per_layer_input_gate,other,256,2560,655360,0.002073185285553336,0.005181347019970417,193,0.1550757884979248
5,model.language_model.layers.5.per_layer_projection,other,2560,256,655360,0.002442931989207864,0.015544041059911251,193,0.15332388877868652
6,model.language_model.layers.6.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0013912244467064738,0.0,193,0.15427136421203613
6,model.language_model.layers.6.self_attn.k_proj,attn_qkv,512,2560,1310720,0.0021052274387329817,0.005181347019970417,193,0.15029335021972656
6,model.language_model.layers.6.self_attn.v_proj,attn_qkv,512,2560,1310720,0.019058827310800552,0.036269430071115494,193,0.1464378833770752
6,model.language_model.layers.6.self_attn.o_proj,attn_out,2560,2048,5242880,0.013276154175400734,0.02590673416852951,193,0.1553182601928711
6,model.language_model.layers.6.mlp.gate_proj,mlp_up,10240,2560,26214400,0.022328801453113556,0.02590673416852951,193,0.16454458236694336
6,model.language_model.layers.6.mlp.up_proj,mlp_up,10240,2560,26214400,0.004469781182706356,0.020725388079881668,193,0.16375494003295898
6,model.language_model.layers.6.mlp.down_proj,mlp_down,2560,10240,26214400,0.02128441445529461,0.036269430071115494,193,0.16379499435424805
6,model.language_model.layers.6.per_layer_input_gate,other,256,2560,655360,0.006061321124434471,0.031088082119822502,193,0.15296530723571777
6,model.language_model.layers.6.per_layer_projection,other,2560,256,655360,0.002942071296274662,0.010362694039940834,193,0.1466073989868164
7,model.language_model.layers.7.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0009262370876967907,0.005181347019970417,193,0.15399909019470215
7,model.language_model.layers.7.self_attn.k_proj,attn_qkv,512,2560,1310720,0.001060420647263527,0.010362694039940834,193,0.15566277503967285
7,model.language_model.layers.7.self_attn.v_proj,attn_qkv,512,2560,1310720,0.005227374378591776,0.010362694039940834,193,0.15400195121765137
7,model.language_model.layers.7.self_attn.o_proj,attn_out,2560,2048,5242880,0.006272579077631235,0.020725388079881668,193,0.15475893020629883
7,model.language_model.layers.7.mlp.gate_proj,mlp_up,10240,2560,26214400,0.02573261223733425,0.041450776159763336,193,0.16340184211730957
7,model.language_model.layers.7.mlp.up_proj,mlp_up,10240,2560,26214400,0.008644615299999714,0.020725388079881668,193,0.15835809707641602
7,model.language_model.layers.7.mlp.down_proj,mlp_down,2560,10240,26214400,0.01483564916998148,0.036269430071115494,193,0.15909457206726074
