layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0007801674073562026,0.010256410576403141,195,0.10026860237121582
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0002403845137450844,0.010256410576403141,195,0.08369565010070801
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0024039705749601126,0.015384616330265999,195,0.08187532424926758
0,model.layers.0.self_attn.o_proj,attn_out,3072,3072,9437184,0.0013105056714266539,0.010256410576403141,195,0.08049511909484863
0,model.layers.0.mlp.gate_proj,mlp_up,8192,3072,25165824,0.0014950939221307635,0.0051282052882015705,195,0.09697842597961426
0,model.layers.0.mlp.up_proj,mlp_up,8192,3072,25165824,0.001117086736485362,0.010256410576403141,195,0.09737896919250488
0,model.layers.0.mlp.down_proj,mlp_down,3072,8192,25165824,0.009381488896906376,0.015384616330265999,195,0.10772705078125
1,model.layers.1.self_attn.q_proj,attn_qkv,3072,3072,9437184,9.082523320103064e-05,0.0051282052882015705,195,0.0863654613494873
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.000104075952549465,0.0,195,0.0838160514831543
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0006735974457114935,0.010256410576403141,195,0.08212590217590332
1,model.layers.1.self_attn.o_proj,attn_out,3072,3072,9437184,0.00047790465760044754,0.0051282052882015705,195,0.08325505256652832
1,model.layers.1.mlp.gate_proj,mlp_up,8192,3072,25165824,0.0007793881231918931,0.010256410576403141,195,0.10639548301696777
1,model.layers.1.mlp.up_proj,mlp_up,8192,3072,25165824,0.00066610227804631,0.010256410576403141,195,0.09988999366760254
1,model.layers.1.mlp.down_proj,mlp_down,3072,8192,25165824,0.0734541043639183,0.13846154510974884,195,0.1022341251373291
2,model.layers.2.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0001751575036905706,0.0051282052882015705,195,0.07594084739685059
