layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
7,model.layers.7.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.012618539854884148,0.056410256773233414,195,0.07389545440673828
7,model.layers.7.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.010914444923400879,0.04615384712815285,195,0.07451868057250977
7,model.layers.7.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.011060080491006374,0.04615384712815285,195,0.07471871376037598
7,model.layers.7.self_attn.o_proj,attn_out,3072,3072,9437184,0.03149712458252907,0.06666667014360428,195,0.07781243324279785
7,model.layers.7.mlp.gate_proj,mlp_up,8192,3072,25165824,0.023941585794091225,0.056410256773233414,195,0.09923648834228516
7,model.layers.7.mlp.up_proj,mlp_up,8192,3072,25165824,0.023700734600424767,0.07179487496614456,195,0.0979149341583252
7,model.layers.7.mlp.down_proj,mlp_down,3072,8192,25165824,0.03850547596812248,0.06666667014360428,195,0.09671878814697266
8,model.layers.8.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.008555637672543526,0.030769232660531998,195,0.07607889175415039
8,model.layers.8.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.01667843572795391,0.06666667014360428,195,0.07685613632202148
8,model.layers.8.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.005500962492078543,0.03589743748307228,195,0.07408571243286133
8,model.layers.8.self_attn.o_proj,attn_out,3072,3072,9437184,0.021444253623485565,0.05128205195069313,195,0.07745170593261719
8,model.layers.8.mlp.gate_proj,mlp_up,8192,3072,25165824,0.025817416608333588,0.041025642305612564,195,0.0953671932220459
8,model.layers.8.mlp.up_proj,mlp_up,8192,3072,25165824,0.026088165119290352,0.05128205195069313,195,0.09288406372070312
8,model.layers.8.mlp.down_proj,mlp_down,3072,8192,25165824,0.044016219675540924,0.07179487496614456,195,0.10294079780578613
9,model.layers.9.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.01161875668913126,0.061538465321063995,195,0.07745862007141113
9,model.layers.9.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.006608159746974707,0.030769232660531998,195,0.07458257675170898
9,model.layers.9.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0058649322018027306,0.025641025975346565,195,0.07456398010253906
9,model.layers.9.self_attn.o_proj,attn_out,3072,3072,9437184,0.026831915602087975,0.04615384712815285,195,0.07819509506225586
9,model.layers.9.mlp.gate_proj,mlp_up,8192,3072,25165824,0.02108042873442173,0.05128205195069313,195,0.09827494621276855
9,model.layers.9.mlp.up_proj,mlp_up,8192,3072,25165824,0.02322462573647499,0.030769232660531998,195,0.10070633888244629
9,model.layers.9.mlp.down_proj,mlp_down,3072,8192,25165824,0.03253060579299927,0.03589743748307228,195,0.09989261627197266
10,model.layers.10.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00956218596547842,0.025641025975346565,195,0.07607507705688477
10,model.layers.10.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.013099134899675846,0.030769232660531998,195,0.07382321357727051
10,model.layers.10.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.005989489145576954,0.025641025975346565,195,0.07176518440246582
10,model.layers.10.self_attn.o_proj,attn_out,3072,3072,9437184,0.026366043835878372,0.03589743748307228,195,0.09774374961853027
