layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.03502100706100464,0.05128205195069313,195,0.17107248306274414
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.027157926931977272,0.041025642305612564,195,0.1516416072845459
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.04146065562963486,0.04615384712815285,195,0.15530133247375488
0,model.layers.0.self_attn.o_proj,attn_out,4096,4096,16777216,0.1392459273338318,0.2410256415605545,195,0.1721489429473877
0,model.layers.0.mlp.gate_proj,mlp_up,14336,4096,58720256,0.10413215309381485,0.1794871836900711,195,0.21960759162902832
0,model.layers.0.mlp.up_proj,mlp_up,14336,4096,58720256,0.10261150449514389,0.13846154510974884,195,0.218003511428833
0,model.layers.0.mlp.down_proj,mlp_down,4096,14336,58720256,0.12441003322601318,0.22051282227039337,195,0.21050763130187988
1,model.layers.1.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.04626970738172531,0.08205128461122513,195,0.17395687103271484
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.03675500676035881,0.056410256773233414,195,0.15606474876403809
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.01969705894589424,0.056410256773233414,195,0.15698695182800293
1,model.layers.1.self_attn.o_proj,attn_out,4096,4096,16777216,0.021464001387357712,0.041025642305612564,195,0.16923761367797852
1,model.layers.1.mlp.gate_proj,mlp_up,14336,4096,58720256,0.03933074697852135,0.041025642305612564,195,0.21599960327148438
1,model.layers.1.mlp.up_proj,mlp_up,14336,4096,58720256,0.11915891617536545,0.1487179547548294,195,0.21396350860595703
1,model.layers.1.mlp.down_proj,mlp_down,4096,14336,58720256,0.18831346929073334,0.24615386128425598,195,0.21898388862609863
2,model.layers.2.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.04031645506620407,0.09743589907884598,195,0.17159509658813477
2,model.layers.2.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.062438253313302994,0.10769230872392654,195,0.157423734664917
2,model.layers.2.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.015193719416856766,0.061538465321063995,195,0.15627360343933105
2,model.layers.2.self_attn.o_proj,attn_out,4096,4096,16777216,0.023060545325279236,0.07179487496614456,195,0.16535115242004395
2,model.layers.2.mlp.gate_proj,mlp_up,14336,4096,58720256,0.026066472753882408,0.056410256773233414,195,0.21876978874206543
2,model.layers.2.mlp.up_proj,mlp_up,14336,4096,58720256,0.04494604468345642,0.056410256773233414,195,0.22198843955993652
2,model.layers.2.mlp.down_proj,mlp_down,4096,14336,58720256,0.04373899847269058,0.04615384712815285,195,0.2212226390838623
3,model.layers.3.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.020313529297709465,0.056410256773233414,195,0.16860055923461914
3,model.layers.3.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.029023537412285805,0.07179487496614456,195,0.14964652061462402
3,model.layers.3.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.013543179258704185,0.04615384712815285,195,0.15213632583618164
3,model.layers.3.self_attn.o_proj,attn_out,4096,4096,16777216,0.01657579094171524,0.04615384712815285,195,0.17295265197753906
3,model.layers.3.mlp.gate_proj,mlp_up,14336,4096,58720256,0.027350790798664093,0.07179487496614456,195,0.2200171947479248
3,model.layers.3.mlp.up_proj,mlp_up,14336,4096,58720256,0.03558068349957466,0.08717948943376541,195,0.21960949897766113
3,model.layers.3.mlp.down_proj,mlp_down,4096,14336,58720256,0.044378310441970825,0.09743589907884598,195,0.21768951416015625
4,model.layers.4.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.020427508279681206,0.07179487496614456,195,0.16712379455566406
4,model.layers.4.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.020628444850444794,0.06666667014360428,195,0.15877151489257812
4,model.layers.4.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.008932233788073063,0.05128205195069313,195,0.15502643585205078
4,model.layers.4.self_attn.o_proj,attn_out,4096,4096,16777216,0.01457833033055067,0.056410256773233414,195,0.171919584274292
4,model.layers.4.mlp.gate_proj,mlp_up,14336,4096,58720256,0.02700795978307724,0.05128205195069313,195,0.21892499923706055
4,model.layers.4.mlp.up_proj,mlp_up,14336,4096,58720256,0.027910489588975906,0.07179487496614456,195,0.2143852710723877
4,model.layers.4.mlp.down_proj,mlp_down,4096,14336,58720256,0.030346032232046127,0.025641025975346565,195,0.22587895393371582
5,model.layers.5.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.01519027166068554,0.041025642305612564,195,0.206803560256958
5,model.layers.5.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.009005170315504074,0.056410256773233414,195,0.16883444786071777
5,model.layers.5.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.010577787645161152,0.04615384712815285,195,0.1566164493560791
5,model.layers.5.self_attn.o_proj,attn_out,4096,4096,16777216,0.024666806682944298,0.08717948943376541,195,0.17093873023986816
5,model.layers.5.mlp.gate_proj,mlp_up,14336,4096,58720256,0.029539739713072777,0.056410256773233414,195,0.22223401069641113
5,model.layers.5.mlp.up_proj,mlp_up,14336,4096,58720256,0.0346146821975708,0.061538465321063995,195,0.2196803092956543
5,model.layers.5.mlp.down_proj,mlp_down,4096,14336,58720256,0.03257915377616882,0.07179487496614456,195,0.22451281547546387
6,model.layers.6.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.008769113570451736,0.015384616330265999,195,0.1710515022277832
6,model.layers.6.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.010907902382314205,0.041025642305612564,195,0.15215229988098145
6,model.layers.6.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.005216754972934723,0.025641025975346565,195,0.15365362167358398
6,model.layers.6.self_attn.o_proj,attn_out,4096,4096,16777216,0.015485130250453949,0.03589743748307228,195,0.17428112030029297
6,model.layers.6.mlp.gate_proj,mlp_up,14336,4096,58720256,0.026309465989470482,0.08205128461122513,195,0.22263455390930176
6,model.layers.6.mlp.up_proj,mlp_up,14336,4096,58720256,0.03234842047095299,0.07179487496614456,195,0.22313761711120605
6,model.layers.6.mlp.down_proj,mlp_down,4096,14336,58720256,0.037732891738414764,0.07179487496614456,195,0.2172548770904541
7,model.layers.7.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.01060508657246828,0.030769232660531998,195,0.16933369636535645
7,model.layers.7.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.006588533986359835,0.03589743748307228,195,0.15795612335205078
7,model.layers.7.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.005338193383067846,0.041025642305612564,195,0.15452909469604492
7,model.layers.7.self_attn.o_proj,attn_out,4096,4096,16777216,0.019726675003767014,0.056410256773233414,195,0.17690110206604004
7,model.layers.7.mlp.gate_proj,mlp_up,14336,4096,58720256,0.021659646183252335,0.056410256773233414,195,0.21980690956115723
7,model.layers.7.mlp.up_proj,mlp_up,14336,4096,58720256,0.02398557960987091,0.06666667014360428,195,0.21221494674682617
7,model.layers.7.mlp.down_proj,mlp_down,4096,14336,58720256,0.024849839508533478,0.07179487496614456,195,0.21898388862609863
8,model.layers.8.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00698492955416441,0.030769232660531998,195,0.1751384735107422
8,model.layers.8.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.010188841260969639,0.05128205195069313,195,0.15396833419799805
8,model.layers.8.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.005891355685889721,0.020512821152806282,195,0.1546473503112793
8,model.layers.8.self_attn.o_proj,attn_out,4096,4096,16777216,0.019436731934547424,0.056410256773233414,195,0.1703033447265625
8,model.layers.8.mlp.gate_proj,mlp_up,14336,4096,58720256,0.01867789216339588,0.061538465321063995,195,0.2175464630126953
8,model.layers.8.mlp.up_proj,mlp_up,14336,4096,58720256,0.024510106071829796,0.061538465321063995,195,0.21873211860656738
8,model.layers.8.mlp.down_proj,mlp_down,4096,14336,58720256,0.03552679345011711,0.06666667014360428,195,0.21727275848388672
9,model.layers.9.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00893373042345047,0.030769232660531998,195,0.1738126277923584
9,model.layers.9.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.005989959929138422,0.020512821152806282,195,0.1520824432373047
9,model.layers.9.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.006930347997695208,0.041025642305612564,195,0.15366554260253906
9,model.layers.9.self_attn.o_proj,attn_out,4096,4096,16777216,0.02254445292055607,0.08205128461122513,195,0.17429709434509277
9,model.layers.9.mlp.gate_proj,mlp_up,14336,4096,58720256,0.014776427298784256,0.05128205195069313,195,0.21924996376037598
9,model.layers.9.mlp.up_proj,mlp_up,14336,4096,58720256,0.02336551994085312,0.061538465321063995,195,0.21688580513000488
9,model.layers.9.mlp.down_proj,mlp_down,4096,14336,58720256,0.031224383041262627,0.06666667014360428,195,0.214339017868042
10,model.layers.10.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.008822962641716003,0.020512821152806282,195,0.1631486415863037
10,model.layers.10.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.007112694438546896,0.020512821152806282,195,0.15404319763183594
10,model.layers.10.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.00545428367331624,0.025641025975346565,195,0.1595146656036377
10,model.layers.10.self_attn.o_proj,attn_out,4096,4096,16777216,0.02203957550227642,0.07179487496614456,195,0.17516469955444336
10,model.layers.10.mlp.gate_proj,mlp_up,14336,4096,58720256,0.019627094268798828,0.05128205195069313,195,0.21999692916870117
