layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
0,model.layers.0.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.00013922099606133997,0.0051282052882015705,195,0.1718144416809082
0,model.layers.0.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.0007230557966977358,0.010256410576403141,195,0.15185976028442383
0,model.layers.0.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.011337638832628727,0.03589743748307228,195,0.15247821807861328
0,model.layers.0.self_attn.o_proj,attn_out,4096,4096,16777216,0.004468404222279787,0.09743589907884598,195,0.17304515838623047
0,model.layers.0.mlp.gate_proj,mlp_up,14336,4096,58720256,0.00249678548425436,0.015384616330265999,195,0.22260284423828125
0,model.layers.0.mlp.up_proj,mlp_up,14336,4096,58720256,0.0031503408681601286,0.08717948943376541,195,0.21842026710510254
0,model.layers.0.mlp.down_proj,mlp_down,4096,14336,58720256,0.010044058784842491,0.041025642305612564,195,0.21443891525268555
1,model.layers.1.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.0019719081465154886,0.010256410576403141,195,0.17344021797180176
1,model.layers.1.self_attn.k_proj,attn_qkv,1024,4096,4194304,0.0008781453361734748,0.0051282052882015705,195,0.15398573875427246
1,model.layers.1.self_attn.v_proj,attn_qkv,1024,4096,4194304,0.003365220269188285,0.020512821152806282,195,0.15387582778930664
1,model.layers.1.self_attn.o_proj,attn_out,4096,4096,16777216,0.0027968466747552156,0.020512821152806282,195,0.17327475547790527
1,model.layers.1.mlp.gate_proj,mlp_up,14336,4096,58720256,0.006635476369410753,0.0051282052882015705,195,0.21390748023986816
1,model.layers.1.mlp.up_proj,mlp_up,14336,4096,58720256,0.017127854749560356,0.0923076942563057,195,0.21541213989257812
1,model.layers.1.mlp.down_proj,mlp_down,4096,14336,58720256,0.12112630903720856,0.1538461595773697,195,0.21751809120178223
2,model.layers.2.self_attn.q_proj,attn_qkv,4096,4096,16777216,0.0010944384848698974,0.010256410576403141,195,0.17055082321166992
